ID,Identifier,Title,Type,Creator,Creation_Date,Image_URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
AK-MAK-1324,http://hdl.handle.net/10934/RM0001.COLLECT.2255,Doos met deksel en opengewerkte versiering,doos,anonymous,1700,https://lh4.ggpht.com/cLfH9tPXaasCbV7M1St_PXFhLOtAjJ9ro6s7qCy1Y96cYeHWW3TvBMH1Paq6PxJuI7UPBGfWCGFIHf8UPU0e5BUsX-I=s0,,,,
AK-MAK-1325,http://hdl.handle.net/10934/RM0001.COLLECT.2017,Paar oorringen,oorversiering,anonymous,1200,https://lh3.googleusercontent.com/gb-l5bU3VLH2QomHLDyS_Fm4GSLBWVDWS127k64eq_0AxPqZ8Qzn4LmPiGMmZaBJhqVJwVjemMBuITNlgkD6E8qxLNIh=s0,,,,
AK-MAK-1326,http://hdl.handle.net/10934/RM0001.COLLECT.2117,Doos,doos,anonymous,1736,https://lh6.ggpht.com/4OyZdIKqr6MWkVLVpo7fEixsEVYOPAb9ktgELawwvaHKkLTKU55dUD5msRQx8BlX-fhw_C_YwbIQWHzZ6KIg2Cb6CJY=s0,,,,
AK-MAK-1327,http://hdl.handle.net/10934/RM0001.COLLECT.1272,Klokvormige kom een karakter en gestileerd bladmotief,kom,anonymous,1575,https://lh3.googleusercontent.com/O1pGKCqlCmIjcKzFQHbOfj9GmSF9bRdW7SGAy3r05tXrXs9fFM6W3iYeIlj1cTfGI7gBee975TC-otSp_Rzo_DaL7WE=s0,,,,
AK-MAK-1329,http://hdl.handle.net/10934/RM0001.COLLECT.642,Ordos ceintuur applique twee bokken,applique,anonymous,-200,https://lh3.googleusercontent.com/lXNhR0tO9mEAkxBnbTc8WJuRkD38lqxS8dUc0z0QPS8pKsfx1-PeJrkiD85Keu6jDbj31UB-czcBjoM5-6eEQyALlhK5=s0,,,,
AK-MAK-133,http://hdl.handle.net/10934/RM0001.COLLECT.1652,Helm van ijzer met zilver ingelegd,helm,anonymous,1600,https://lh3.googleusercontent.com/mXhNkSfVBJ2MbyD28zyeiFSQprKuFrZ92Wx6e8bYznj7SDwaJi352Yi28nSSErT15e43JGUZPuJhDwcEIlfTLwxMyw=s0,,,,
AK-MAK-1330,http://hdl.handle.net/10934/RM0001.COLLECT.643,"Ceintuur applique, muildier en roofdieren",applique,anonymous,-200,https://lh3.googleusercontent.com/0JbsDD5mBlRWmmgHNq67iWtuDSrgRWqGo_apKuA_TO6iOAI0OUC8sEAc39FesfXO3TsBWuvxKJ8ER6ZDiT9ABy6azg=s0,,,,
AK-MAK-1331,http://hdl.handle.net/10934/RM0001.COLLECT.1273,Ronde doos met bloemranken en golven in vakken,doos,anonymous,1450,https://lh5.ggpht.com/F_JPreCuTRepv4OT_L-9zZbWzHb9tjoPschh9bZzl0phXRHACB3GbGxwTg4v4QHn_gbE27sGGboHvGn3fXGMqYxFSVM=s0,,,,
AK-MAK-1332,http://hdl.handle.net/10934/RM0001.COLLECT.977,Gewicht om opium te wegen,beeldhouwwerk,anonymous,1900,https://lh3.googleusercontent.com/BreTx52vARzsYGuqWiUJJFnjBmwHW-kHRfS5bzbatL-7En12E3beBbEKn4e1IF5uazU8qGvp5Bw_SUyfR4ntFJR8cHY2=s0,,,,
AK-MAK-1333,http://hdl.handle.net/10934/RM0001.COLLECT.978,Votiefstoepa,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/e72gjuSKHBVfdSteUJBVPJLpZR8eAgTDGZQVFGs8e8BXG3In7EuzCLoW3z_uoWqdVO5fO9yyi_gIpdgPMo8FxgXwHFg=s0,,,,
AK-MAK-1334,http://hdl.handle.net/10934/RM0001.COLLECT.979,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/g-2Q_I_RRiXCdd-fGL2ILLIbI6Adl-5nLcv9EBnEGCceBJLtih4_tnB3YdCXMfMGu9AOD56Z6y4gKmAnN4nWeFMkTg=s0,,,,
